"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","UNEMP","15_24","PC_LF","M","2020-09",20,
"FIN","UNEMP","15_24","PC_LF","M","2020-10",21.6,
"KOR","UNEMP","15_24","PC_LF","M","2019-09",9.37815,
"KOR","UNEMP","15_24","PC_LF","M","2019-10",9.687396,
"KOR","UNEMP","15_24","PC_LF","M","2019-11",10.12973,
"KOR","UNEMP","15_24","PC_LF","M","2019-12",9.944329,
"KOR","UNEMP","15_24","PC_LF","M","2020-01",9.666684,
"KOR","UNEMP","15_24","PC_LF","M","2020-02",9.711472,
"KOR","UNEMP","15_24","PC_LF","M","2020-03",10.42155,
"KOR","UNEMP","15_24","PC_LF","M","2020-04",10.98559,
"KOR","UNEMP","15_24","PC_LF","M","2020-05",11.77884,
"KOR","UNEMP","15_24","PC_LF","M","2020-06",10.79593,
"KOR","UNEMP","15_24","PC_LF","M","2020-07",10.30532,
"KOR","UNEMP","15_24","PC_LF","M","2020-08",9.828763,
"KOR","UNEMP","15_24","PC_LF","M","2020-09",11.51718,
"KOR","UNEMP","15_24","PC_LF","M","2020-10",10.86848,
"BEL","UNEMP","15_24","PC_LF","M","2019-09",13,
"BEL","UNEMP","15_24","PC_LF","M","2019-10",15.1,
"BEL","UNEMP","15_24","PC_LF","M","2019-11",15.1,
"BEL","UNEMP","15_24","PC_LF","M","2019-12",15.1,
"BEL","UNEMP","15_24","PC_LF","M","2020-01",11.9,
"BEL","UNEMP","15_24","PC_LF","M","2020-02",11.9,
"BEL","UNEMP","15_24","PC_LF","M","2020-03",11.9,
"BEL","UNEMP","15_24","PC_LF","M","2020-04",15.7,
"BEL","UNEMP","15_24","PC_LF","M","2020-05",15.7,
"BEL","UNEMP","15_24","PC_LF","M","2020-06",15.7,
"BEL","UNEMP","15_24","PC_LF","M","2020-07",18.3,
"BEL","UNEMP","15_24","PC_LF","M","2020-08",18.3,
"BEL","UNEMP","15_24","PC_LF","M","2020-09",18.3,
"GBR","UNEMP","15_24","PC_LF","M","2019-09",11.4,
"GBR","UNEMP","15_24","PC_LF","M","2019-10",11,
"GBR","UNEMP","15_24","PC_LF","M","2019-11",10.9,
"GBR","UNEMP","15_24","PC_LF","M","2019-12",11.2,
"GBR","UNEMP","15_24","PC_LF","M","2020-01",11.3,
"GBR","UNEMP","15_24","PC_LF","M","2020-02",11.5,
"GBR","UNEMP","15_24","PC_LF","M","2020-03",11.8,
"GBR","UNEMP","15_24","PC_LF","M","2020-04",12,
"GBR","UNEMP","15_24","PC_LF","M","2020-05",12.3,
"GBR","UNEMP","15_24","PC_LF","M","2020-06",12.9,
"GBR","UNEMP","15_24","PC_LF","M","2020-07",13.6,
"GBR","UNEMP","15_24","PC_LF","M","2020-08",14.1,
"CHL","UNEMP","15_24","PC_LF","M","2019-09",19.01772,
"CHL","UNEMP","15_24","PC_LF","M","2019-10",20.42743,
"CHL","UNEMP","15_24","PC_LF","M","2019-11",20.61602,
"CHL","UNEMP","15_24","PC_LF","M","2019-12",20.69235,
"CHL","UNEMP","15_24","PC_LF","M","2020-01",19.97151,
"CHL","UNEMP","15_24","PC_LF","M","2020-02",20.1326,
"CHL","UNEMP","15_24","PC_LF","M","2020-03",21.45053,
"CHL","UNEMP","15_24","PC_LF","M","2020-04",25.31243,
"CHL","UNEMP","15_24","PC_LF","M","2020-05",27.15475,
"CHL","UNEMP","15_24","PC_LF","M","2020-06",28.54171,
"CHL","UNEMP","15_24","PC_LF","M","2020-07",28.21857,
"CHL","UNEMP","15_24","PC_LF","M","2020-08",27.22403,
